date,field,shape,dtype,total_elements,nan_count,inf_count,neg_count,pos_count,zero_count,num_channels
20220810,input_tensor,"(288, 1370, 8)",float32,3156480,0,0,0,399033,2757447,8
20220810,normalized_tensor,"(288, 1370, 8)",float32,3156480,0,0,2812728,343752,0,8
20220811,input_tensor,"(288, 1370, 8)",float32,3156480,0,0,0,410869,2745611,8
20220811,normalized_tensor,"(288, 1370, 8)",float32,3156480,0,0,2812138,344342,0,8
20220812,input_tensor,"(288, 1370, 8)",float32,3156480,0,0,0,421213,2735267,8
20220812,normalized_tensor,"(288, 1370, 8)",float32,3156480,0,0,2802190,354290,0,8
20220813,input_tensor,"(288, 1370, 8)",float32,3156480,0,0,0,393123,2763357,8
20220813,normalized_tensor,"(288, 1370, 8)",float32,3156480,0,0,2829609,326871,0,8
20220814,input_tensor,"(288, 1370, 8)",float32,3156480,0,0,0,359626,2796854,8
20220814,normalized_tensor,"(288, 1370, 8)",float32,3156480,0,0,2853222,303258,0,8
20220815,input_tensor,"(288, 1370, 8)",float32,3156480,0,0,0,222374,2934106,8
20220815,normalized_tensor,"(288, 1370, 8)",float32,3156480,0,0,2965204,191276,0,8
20220819,input_tensor,"(288, 1370, 8)",float32,3156480,0,0,0,411854,2744626,8
20220819,normalized_tensor,"(288, 1370, 8)",float32,3156480,0,0,2811468,345012,0,8
20220820,input_tensor,"(288, 1370, 8)",float32,3156480,0,0,0,395206,2761274,8
20220820,normalized_tensor,"(288, 1370, 8)",float32,3156480,0,0,2817994,338486,0,8
20220821,input_tensor,"(288, 1370, 8)",float32,3156480,0,0,0,366571,2789909,8
20220821,normalized_tensor,"(288, 1370, 8)",float32,3156480,0,0,2846257,310223,0,8
20220822,input_tensor,"(288, 1370, 8)",float32,3156480,0,0,0,410054,2746426,8
20220822,normalized_tensor,"(288, 1370, 8)",float32,3156480,0,0,2812517,343963,0,8
20220823,input_tensor,"(288, 1370, 8)",float32,3156480,0,0,0,410207,2746273,8
20220823,normalized_tensor,"(288, 1370, 8)",float32,3156480,0,0,2803456,353024,0,8
20220906,input_tensor,"(288, 1370, 8)",float32,3156480,0,0,0,403962,2752518,8
20220906,normalized_tensor,"(288, 1370, 8)",float32,3156480,0,0,2817152,339328,0,8
20220907,input_tensor,"(288, 1370, 8)",float32,3156480,0,0,0,422812,2733668,8
20220907,normalized_tensor,"(288, 1370, 8)",float32,3156480,0,0,2800845,355635,0,8
20220909,input_tensor,"(288, 1370, 8)",float32,3156480,0,0,0,372220,2784260,8
20220909,normalized_tensor,"(288, 1370, 8)",float32,3156480,0,0,2840916,315564,0,8
20220910,input_tensor,"(288, 1370, 8)",float32,3156480,0,0,0,332051,2824429,8
20220910,normalized_tensor,"(288, 1370, 8)",float32,3156480,0,0,2880210,276270,0,8
20220911,input_tensor,"(288, 1370, 8)",float32,3156480,0,0,0,338579,2817901,8
20220911,normalized_tensor,"(288, 1370, 8)",float32,3156480,0,0,2873276,283204,0,8
20220912,input_tensor,"(288, 1370, 8)",float32,3156480,0,0,0,214739,2941741,8
20220912,normalized_tensor,"(288, 1370, 8)",float32,3156480,0,0,2972560,183920,0,8
20220913,input_tensor,"(288, 1370, 8)",float32,3156480,0,0,0,249038,2907442,8
20220913,normalized_tensor,"(288, 1370, 8)",float32,3156480,0,0,2938344,218136,0,8
20220914,input_tensor,"(288, 1370, 8)",float32,3156480,0,0,0,255737,2900743,8
20220914,normalized_tensor,"(288, 1370, 8)",float32,3156480,0,0,2932306,224174,0,8
20220915,input_tensor,"(288, 1370, 8)",float32,3156480,0,0,0,261048,2895432,8
20220915,normalized_tensor,"(288, 1370, 8)",float32,3156480,0,0,2927918,228562,0,8
20220916,input_tensor,"(288, 1370, 8)",float32,3156480,0,0,0,265808,2890672,8
20220916,normalized_tensor,"(288, 1370, 8)",float32,3156480,0,0,2922283,234197,0,8
20220926,input_tensor,"(288, 1370, 8)",float32,3156480,0,0,0,406516,2749964,8
20220926,normalized_tensor,"(288, 1370, 8)",float32,3156480,0,0,2816247,340233,0,8
20220928,input_tensor,"(288, 1370, 8)",float32,3156480,0,0,0,413350,2743130,8
20220928,normalized_tensor,"(288, 1370, 8)",float32,3156480,0,0,2810204,346276,0,8
20220930,input_tensor,"(288, 1370, 8)",float32,3156480,0,0,0,267179,2889301,8
20220930,normalized_tensor,"(288, 1370, 8)",float32,3156480,0,0,2921142,235338,0,8
20221001,input_tensor,"(288, 1370, 8)",float32,3156480,0,0,0,250095,2906385,8
20221001,normalized_tensor,"(288, 1370, 8)",float32,3156480,0,0,2938526,217954,0,8
