epoch,train_mse,train_mae,val_mse,val_mae
1,1.005697,0.403439,0.996411,0.352826
2,1.003791,0.402287,0.994494,0.365235
3,1.003094,0.401963,0.994127,0.376325
4,1.002252,0.401933,0.993637,0.362580
5,1.001267,0.401420,0.993209,0.354893
6,1.000682,0.401299,0.991769,0.374498
7,0.998584,0.400754,0.989454,0.356548
8,0.993330,0.398695,0.983667,0.372509
9,0.987348,0.397643,0.979670,0.360793
10,0.982612,0.396380,0.977113,0.366331
11,0.978537,0.395341,0.974719,0.377364
12,0.974754,0.394631,0.971344,0.348375
13,0.971048,0.393507,0.968458,0.374327
14,0.967253,0.392914,0.965124,0.353897
15,0.963732,0.392029,0.961755,0.351542
16,0.960341,0.391143,0.959961,0.378197
17,0.957036,0.390494,0.957392,0.357952
18,0.954391,0.389960,0.955074,0.355576
19,0.952415,0.389361,0.954731,0.368197
20,0.950651,0.388901,0.952458,0.353697
21,0.948762,0.388359,0.951138,0.367554
22,0.947449,0.387876,0.950024,0.354276
23,0.945751,0.387287,0.951464,0.381422
24,0.944536,0.387069,0.947569,0.359912
25,0.943276,0.386647,0.946900,0.349252
26,0.942152,0.386353,0.948407,0.342467
27,0.940862,0.385795,0.945055,0.362539
28,0.939857,0.385412,0.944010,0.356570
29,0.939171,0.385337,0.943967,0.367089
30,0.938296,0.385113,0.942523,0.351110
31,0.937647,0.384932,0.943968,0.346029
32,0.936643,0.384657,0.942712,0.350373
33,0.936109,0.384361,0.941518,0.353745
34,0.935081,0.384063,0.941545,0.368273
35,0.934360,0.383908,0.940025,0.363648
36,0.933946,0.383804,0.941125,0.362516
37,0.933065,0.383454,0.939087,0.345463
38,0.932925,0.383412,0.938501,0.351314
39,0.932273,0.383271,0.938326,0.357477
40,0.931523,0.383040,0.937927,0.355278
