epoch,train_mse,train_mae,val_mse,val_mae
1,0.895955,0.367547,0.861382,0.335734
2,0.827279,0.345126,0.829834,0.311529
3,0.775717,0.336103,0.785050,0.319190
4,0.740529,0.327321,0.756798,0.298296
5,0.728415,0.322599,0.752395,0.292147
6,0.719570,0.319253,0.742435,0.293986
7,0.712435,0.316347,0.734475,0.300110
8,0.707394,0.313872,0.733135,0.284636
9,0.702876,0.312182,0.727723,0.287406
10,0.699631,0.310931,0.723540,0.286249
11,0.696694,0.309410,0.719762,0.287981
12,0.692805,0.308010,0.719796,0.294060
13,0.691085,0.307158,0.717891,0.286240
14,0.688743,0.305945,0.716705,0.279931
15,0.686662,0.304873,0.715053,0.293631
16,0.684641,0.303821,0.713752,0.295064
17,0.683321,0.303201,0.711329,0.285371
18,0.681478,0.302189,0.707688,0.281302
19,0.680352,0.301568,0.711367,0.293446
20,0.678654,0.300552,0.706366,0.270546
21,0.677511,0.300019,0.706188,0.283138
22,0.676390,0.299264,0.705554,0.276027
23,0.674891,0.298580,0.719224,0.295947
24,0.673690,0.297879,0.701723,0.284615
25,0.673207,0.297670,0.701807,0.282249
26,0.671617,0.296682,0.701262,0.282429
27,0.670671,0.296216,0.699298,0.273628
28,0.669741,0.295775,0.699225,0.274834
29,0.668723,0.295216,0.699061,0.283953
30,0.668327,0.295087,0.698145,0.277631
31,0.667118,0.294423,0.697687,0.276421
32,0.666745,0.294306,0.696374,0.278692
33,0.665694,0.293839,0.697423,0.281384
34,0.665460,0.293654,0.694954,0.273067
35,0.664788,0.293217,0.695330,0.270445
36,0.663996,0.292874,0.695661,0.286825
37,0.663821,0.292726,0.696034,0.283799
38,0.662696,0.292072,0.693904,0.274432
39,0.662537,0.292135,0.694950,0.287923
40,0.661908,0.291899,0.693735,0.270256
