tl_id,linkIndex,fromLane,toLane
201293,4,477603993_02_01,477604193_02
201293,5,477603993_02_01,477670332_02
201293,6,477603993_02_01,477670332_02
201293,7,477603993_02_01,477670332_02
201293,8,477603993_02_01,477649578_010101_01
201329,0,477604020_02,477604635_01
201329,1,477604020_02,477610040_01_01
201329,2,477604020_02,477610040_01_01
201329,3,477604020_02,477604628_01
201329,4,477604020_02,477604020_01
201293,0,477604193_01,477670332_02
201293,1,477604193_01,477649578_010101_01
201293,2,477604193_01,477649578_010101_01
201293,3,477604193_01,477603993_02_02
201292,4,477604248_0202_01,477604732_02
201292,5,477604248_0202_01,477649508_01_01
201292,6,477604248_0202_01,477649508_01_01
201292,7,477604248_0202_01,477604827_010101_01
201329,5,477604628_02,477604020_01
201329,6,477604628_02,477604635_01
201329,7,477604628_02,477604635_01
201329,8,477604628_02,477610040_01_01
201329,9,477604628_02,477604628_01
201329,14,477604635_02,477610040_01_01
201329,15,477604635_02,477604628_01
201329,16,477604635_02,477604628_01
201329,17,477604635_02,477604020_01
201329,18,477604635_02,477604635_01
201292,0,477604732_01,477649508_01_01
201292,1,477604732_01,477604827_010101_01
201292,2,477604732_01,477604827_010101_01
201292,3,477604732_01,477604248_0202_02
201300,4,477604809_02,477610002_01
201300,5,477604809_02,477660958_01
201300,6,477604809_02,477660958_01
201300,7,477604809_02,477610053_02020202_02
201300,8,477604809_02,477604809_01
201292,8,477604827_010101_02,477604248_0202_02
201292,9,477604827_010101_02,477604732_02
201292,10,477604827_010101_02,477604732_02
201292,11,477604827_010101_02,477649508_01_01
201301,0,477604827_02_01,477649559_01
201301,1,477604827_02_01,477649571_010101_01
201301,2,477604827_02_01,477649571_010101_01
201301,3,477604827_02_01,477649509_01
204920,14,477605406_02,477656848_01
204920,15,477605406_02,477744474_01
204920,16,477605406_02,477744474_01
204920,17,477605406_02,477744474_01
204920,18,477605406_02,477744474_01
204920,19,477605406_02,477755532_01_01
204920,20,477605406_02,477755532_01_01
204920,21,477605406_02,477605406_01
201330,11,477605419_02,477605685_01
201330,12,477605419_02,477605685_01
201330,13,477605419_02,477605685_01
201330,14,477605419_02,477605685_01
201330,15,477605419_02,477657424_01
201330,16,477605419_02,477605419_01
201305,0,477605452_02,477666530_01
201305,1,477605452_02,477605619_01
201305,2,477605452_02,477605619_01
201305,3,477605452_02,477605619_01
201305,4,477605452_02,477605619_01
201305,5,477605452_02,477605619_01
201305,6,477605452_02,477649545_01
201305,7,477605452_02,477605452_01
201305,12,477605619_02,477649545_01
201305,13,477605619_02,477605452_01
201305,14,477605619_02,477605452_01
201305,15,477605619_02,477605452_01
201305,16,477605619_02,477605452_01
201305,17,477605619_02,477605452_01
201305,18,477605619_02,477666530_01
201305,19,477605619_02,477605619_01
201330,0,477605685_02,477605419_01
201330,1,477605685_02,477605419_01
201330,2,477605685_02,477605419_01
201330,3,477605685_02,477605419_01
201330,4,477605685_02,477643151_01
201330,5,477605685_02,477605685_01
201300,0,477610002_02,477660958_01
