tl_id,phase_seq,char_idx,signal_char,lane_id,from_edge,to_edge
201292,0,0,G,:201292_0_0,477604732_01,477649508_01_01
201292,0,1,G,:201292_1_0,477604732_01,477604827_010101_01
201292,0,2,G,:201292_1_1,477604732_01,477604827_010101_01
201292,0,3,g,:201292_3_0,477604732_01,477604248_0202_02
201292,0,4,r,:201292_4_0,477604248_0202_01,477604732_02
201292,0,5,r,:201292_5_0,477604248_0202_01,477649508_01_01
201292,0,6,r,:201292_5_1,477604248_0202_01,477649508_01_01
201292,0,7,r,:201292_7_0,477604248_0202_01,477604827_010101_01
201292,0,8,G,:201292_8_0,477604827_010101_02,477604248_0202_02
201292,0,9,G,:201292_9_0,477604827_010101_02,477604732_02
201292,0,10,G,:201292_9_1,477604827_010101_02,477604732_02
201292,0,11,g,:201292_11_0,477604827_010101_02,477649508_01_01
201292,0,12,r,:201292_12_0,477649508_01_02,477604827_010101_01
201292,0,13,r,:201292_13_0,477649508_01_02,477604248_0202_02
201292,0,14,r,:201292_13_1,477649508_01_02,477604248_0202_02
201292,0,15,r,:201292_15_0,477649508_01_02,477604732_02
201292,1,0,y,:201292_0_0,477604732_01,477649508_01_01
201292,1,1,y,:201292_1_0,477604732_01,477604827_010101_01
201292,1,2,y,:201292_1_1,477604732_01,477604827_010101_01
201292,1,3,g,:201292_3_0,477604732_01,477604248_0202_02
201292,1,4,r,:201292_4_0,477604248_0202_01,477604732_02
201292,1,5,r,:201292_5_0,477604248_0202_01,477649508_01_01
201292,1,6,r,:201292_5_1,477604248_0202_01,477649508_01_01
201292,1,7,r,:201292_7_0,477604248_0202_01,477604827_010101_01
201292,1,8,y,:201292_8_0,477604827_010101_02,477604248_0202_02
201292,1,9,y,:201292_9_0,477604827_010101_02,477604732_02
201292,1,10,y,:201292_9_1,477604827_010101_02,477604732_02
201292,1,11,g,:201292_11_0,477604827_010101_02,477649508_01_01
201292,1,12,r,:201292_12_0,477649508_01_02,477604827_010101_01
201292,1,13,r,:201292_13_0,477649508_01_02,477604248_0202_02
